handle,sku,title,source_price,hm_price,delta,flags,source_url
dtfva-custom-dtf-transfers-by-size-1,DTFVA-CUSTOM_DTF_TRANSFERS_BY_SIZE_1-5_07_X_6_02_PE5B_2_X_2,Custom DTF Transfers by Size,0.92,0.98,0.06,low_price_floor_0_98,https://dtfvirginia.com/products/custom-dtf-transfers-by-size-1
dtfva-custom-dtf-transfers-by-size-1,DTFVA-CUSTOM_DTF_TRANSFERS_BY_SIZE_1-3_X_0_51_BFVN_2_X_2,Custom DTF Transfers by Size,0.05,0.98,0.93,low_price_floor_0_98,https://dtfvirginia.com/products/custom-dtf-transfers-by-size-1
dtfva-custom-dtf-transfers-by-size-1,DTFVA-CUSTOM_DTF_TRANSFERS_BY_SIZE_1-1_X_1_DS9D_2_X_2,Custom DTF Transfers by Size,0.03,0.98,0.95,low_price_floor_0_98,https://dtfvirginia.com/products/custom-dtf-transfers-by-size-1
dtfva-custom-dtf-transfers-by-size-1,DTFVA-CUSTOM_DTF_TRANSFERS_BY_SIZE_1-11_5_X_2_5_E9PY_2_X_2,Custom DTF Transfers by Size,0.86,0.98,0.12,low_price_floor_0_98,https://dtfvirginia.com/products/custom-dtf-transfers-by-size-1
dtfva-custom-dtf-transfers-by-size-1,DTFVA-CUSTOM_DTF_TRANSFERS_BY_SIZE_1-11_5_X_2_5_ZS1G_2_X_2,Custom DTF Transfers by Size,0.86,0.98,0.12,low_price_floor_0_98,https://dtfvirginia.com/products/custom-dtf-transfers-by-size-1
dtfva-custom-dtf-transfers-by-size-1,DTFVA-CUSTOM_DTF_TRANSFERS_BY_SIZE_1-4_X_2_YK8Y_2_X_2,Custom DTF Transfers by Size,0.24,0.98,0.74,low_price_floor_0_98,https://dtfvirginia.com/products/custom-dtf-transfers-by-size-1
dtfva-custom-dtf-transfers-by-size-1,DTFVA-CUSTOM_DTF_TRANSFERS_BY_SIZE_1-4_X_2_KV1E_2_X_2,Custom DTF Transfers by Size,0.24,0.98,0.74,low_price_floor_0_98,https://dtfvirginia.com/products/custom-dtf-transfers-by-size-1
dtfva-custom-dtf-transfers-by-size-1,DTFVA-CUSTOM_DTF_TRANSFERS_BY_SIZE_1-8_2_X_1_42_CBLK_2_X_2,Custom DTF Transfers by Size,0.35,0.98,0.63,low_price_floor_0_98,https://dtfvirginia.com/products/custom-dtf-transfers-by-size-1
dtfva-custom-dtf-transfers-by-size-1,DTFVA-CUSTOM_DTF_TRANSFERS_BY_SIZE_1-3_5_X_1_89_XRFQ_2_X_2,Custom DTF Transfers by Size,0.20,0.98,0.78,low_price_floor_0_98,https://dtfvirginia.com/products/custom-dtf-transfers-by-size-1
dtfva-custom-dtf-transfers-by-size-1,DTFVA-CUSTOM_DTF_TRANSFERS_BY_SIZE_1-2_7_X_2_12_VDMK_2_X_2,Custom DTF Transfers by Size,0.17,0.98,0.81,low_price_floor_0_98,https://dtfvirginia.com/products/custom-dtf-transfers-by-size-1
