handle,sku,title,source_price,hm_price,delta,flags,source_url
dtfva-42-custom-sublimation-gang-sheets-builder,DTFVA-42_CUSTOM_SUBLIMATION_GANG_SHEETS_BUILDER-42_5_X24_HEIGHT_PAPER,"42"" Custom Sublimation Gang Sheet Builder",16.88,15.88,-1.00,,https://dtfvirginia.com/products/42-custom-sublimation-gang-sheets-builder
dtfva-42-custom-sublimation-gang-sheets-builder,DTFVA-42_CUSTOM_SUBLIMATION_GANG_SHEETS_BUILDER-42_5_X36_HEIGHT_PAPER,"42"" Custom Sublimation Gang Sheet Builder",25.33,24.33,-1.00,,https://dtfvirginia.com/products/42-custom-sublimation-gang-sheets-builder
dtfva-42-custom-sublimation-gang-sheets-builder,DTFVA-42_CUSTOM_SUBLIMATION_GANG_SHEETS_BUILDER-42_5_X48_HEIGHT_PAPER,"42"" Custom Sublimation Gang Sheet Builder",33.77,32.77,-1.00,,https://dtfvirginia.com/products/42-custom-sublimation-gang-sheets-builder
dtfva-42-custom-sublimation-gang-sheets-builder,DTFVA-42_CUSTOM_SUBLIMATION_GANG_SHEETS_BUILDER-42_5_X60_HEIGHT_PAPER,"42"" Custom Sublimation Gang Sheet Builder",42.21,41.21,-1.00,,https://dtfvirginia.com/products/42-custom-sublimation-gang-sheets-builder
dtfva-42-custom-sublimation-gang-sheets-builder,DTFVA-42_CUSTOM_SUBLIMATION_GANG_SHEETS_BUILDER-42_5_X72_HEIGHT_PAPER,"42"" Custom Sublimation Gang Sheet Builder",50.65,49.65,-1.00,,https://dtfvirginia.com/products/42-custom-sublimation-gang-sheets-builder
dtfva-42-custom-sublimation-gang-sheets-builder,DTFVA-42_CUSTOM_SUBLIMATION_GANG_SHEETS_BUILDER-42_5_X84_HEIGHT_PAPER,"42"" Custom Sublimation Gang Sheet Builder",59.09,58.09,-1.00,,https://dtfvirginia.com/products/42-custom-sublimation-gang-sheets-builder
dtfva-42-custom-sublimation-gang-sheets-builder,DTFVA-42_CUSTOM_SUBLIMATION_GANG_SHEETS_BUILDER-42_5_X96_HEIGHT_PAPER,"42"" Custom Sublimation Gang Sheet Builder",67.54,66.54,-1.00,,https://dtfvirginia.com/products/42-custom-sublimation-gang-sheets-builder
dtfva-42-custom-sublimation-gang-sheets-builder,DTFVA-42_CUSTOM_SUBLIMATION_GANG_SHEETS_BUILDER-42_5_X108_HEIGHT_PAPER,"42"" Custom Sublimation Gang Sheet Builder",75.98,74.98,-1.00,,https://dtfvirginia.com/products/42-custom-sublimation-gang-sheets-builder
dtfva-42-custom-sublimation-gang-sheets-builder,DTFVA-42_CUSTOM_SUBLIMATION_GANG_SHEETS_BUILDER-42_5_X120_HEIGHT_PAPER,"42"" Custom Sublimation Gang Sheet Builder",84.42,83.42,-1.00,,https://dtfvirginia.com/products/42-custom-sublimation-gang-sheets-builder
dtfva-custom-dtf-gang-sheets-fast-reliable-transfer-printing,DTFVA-CUSTOM_DTF_GANG_SHEETS_FAST_RELIABLE_TRANSFER_PRINTING-46_5_IN_X_12_IN,Custom DTF Gang Sheets 46″ Builder,12.60,11.60,-1.00,,https://dtfvirginia.com/products/custom-dtf-gang-sheets-fast-reliable-transfer-printing
dtfva-custom-dtf-gang-sheets-fast-reliable-transfer-printing,DTFVA-CUSTOM_DTF_GANG_SHEETS_FAST_RELIABLE_TRANSFER_PRINTING-46_5_IN_X_24_IN,Custom DTF Gang Sheets 46″ Builder,25.20,24.20,-1.00,,https://dtfvirginia.com/products/custom-dtf-gang-sheets-fast-reliable-transfer-printing
dtfva-custom-dtf-gang-sheets-fast-reliable-transfer-printing,DTFVA-CUSTOM_DTF_GANG_SHEETS_FAST_RELIABLE_TRANSFER_PRINTING-46_5_IN_X_36_IN,Custom DTF Gang Sheets 46″ Builder,37.80,36.80,-1.00,,https://dtfvirginia.com/products/custom-dtf-gang-sheets-fast-reliable-transfer-printing
dtfva-custom-dtf-gang-sheets-fast-reliable-transfer-printing,DTFVA-CUSTOM_DTF_GANG_SHEETS_FAST_RELIABLE_TRANSFER_PRINTING-46_5_IN_X_48_IN,Custom DTF Gang Sheets 46″ Builder,50.40,49.40,-1.00,,https://dtfvirginia.com/products/custom-dtf-gang-sheets-fast-reliable-transfer-printing
dtfva-custom-dtf-gang-sheets-fast-reliable-transfer-printing,DTFVA-CUSTOM_DTF_GANG_SHEETS_FAST_RELIABLE_TRANSFER_PRINTING-46_5_IN_X_60_IN,Custom DTF Gang Sheets 46″ Builder,63.00,62.00,-1.00,,https://dtfvirginia.com/products/custom-dtf-gang-sheets-fast-reliable-transfer-printing
dtfva-custom-dtf-gang-sheets-fast-reliable-transfer-printing,DTFVA-CUSTOM_DTF_GANG_SHEETS_FAST_RELIABLE_TRANSFER_PRINTING-46_5_IN_X_72_IN,Custom DTF Gang Sheets 46″ Builder,75.60,74.60,-1.00,,https://dtfvirginia.com/products/custom-dtf-gang-sheets-fast-reliable-transfer-printing
dtfva-custom-dtf-gang-sheets-fast-reliable-transfer-printing,DTFVA-CUSTOM_DTF_GANG_SHEETS_FAST_RELIABLE_TRANSFER_PRINTING-46_5_IN_X_80_IN,Custom DTF Gang Sheets 46″ Builder,84.00,83.00,-1.00,,https://dtfvirginia.com/products/custom-dtf-gang-sheets-fast-reliable-transfer-printing
dtfva-custom-dtf-gang-sheets-fast-reliable-transfer-printing,DTFVA-CUSTOM_DTF_GANG_SHEETS_FAST_RELIABLE_TRANSFER_PRINTING-46_5_IN_X_84_IN,Custom DTF Gang Sheets 46″ Builder,88.20,87.20,-1.00,,https://dtfvirginia.com/products/custom-dtf-gang-sheets-fast-reliable-transfer-printing
dtfva-custom-dtf-gang-sheets-fast-reliable-transfer-printing,DTFVA-CUSTOM_DTF_GANG_SHEETS_FAST_RELIABLE_TRANSFER_PRINTING-46_5_IN_X_96_IN,Custom DTF Gang Sheets 46″ Builder,100.80,99.80,-1.00,,https://dtfvirginia.com/products/custom-dtf-gang-sheets-fast-reliable-transfer-printing
dtfva-custom-dtf-gang-sheets-fast-reliable-transfer-printing,DTFVA-CUSTOM_DTF_GANG_SHEETS_FAST_RELIABLE_TRANSFER_PRINTING-46_5_IN_X_108_IN,Custom DTF Gang Sheets 46″ Builder,113.40,112.40,-1.00,,https://dtfvirginia.com/products/custom-dtf-gang-sheets-fast-reliable-transfer-printing
dtfva-custom-dtf-gang-sheets-fast-reliable-transfer-printing,DTFVA-CUSTOM_DTF_GANG_SHEETS_FAST_RELIABLE_TRANSFER_PRINTING-46_5_IN_X_120_IN,Custom DTF Gang Sheets 46″ Builder,126.00,125.00,-1.00,,https://dtfvirginia.com/products/custom-dtf-gang-sheets-fast-reliable-transfer-printing
dtfva-custom-dtf-gang-sheets-fast-reliable-transfer-printing,DTFVA-CUSTOM_DTF_GANG_SHEETS_FAST_RELIABLE_TRANSFER_PRINTING-46_5_IN_X_132_IN,Custom DTF Gang Sheets 46″ Builder,138.60,137.60,-1.00,,https://dtfvirginia.com/products/custom-dtf-gang-sheets-fast-reliable-transfer-printing
dtfva-custom-dtf-gang-sheets-fast-reliable-transfer-printing,DTFVA-CUSTOM_DTF_GANG_SHEETS_FAST_RELIABLE_TRANSFER_PRINTING-46_5_IN_X_144_IN,Custom DTF Gang Sheets 46″ Builder,151.20,150.20,-1.00,,https://dtfvirginia.com/products/custom-dtf-gang-sheets-fast-reliable-transfer-printing
dtfva-custom-dtf-gang-sheets-fast-reliable-transfer-printing,DTFVA-CUSTOM_DTF_GANG_SHEETS_FAST_RELIABLE_TRANSFER_PRINTING-46_5_IN_X_156_IN,Custom DTF Gang Sheets 46″ Builder,163.80,162.80,-1.00,,https://dtfvirginia.com/products/custom-dtf-gang-sheets-fast-reliable-transfer-printing
dtfva-custom-dtf-gang-sheets-fast-reliable-transfer-printing,DTFVA-CUSTOM_DTF_GANG_SHEETS_FAST_RELIABLE_TRANSFER_PRINTING-46_5_IN_X_168_IN,Custom DTF Gang Sheets 46″ Builder,176.40,175.40,-1.00,,https://dtfvirginia.com/products/custom-dtf-gang-sheets-fast-reliable-transfer-printing
dtfva-custom-dtf-gang-sheets-fast-reliable-transfer-printing,DTFVA-CUSTOM_DTF_GANG_SHEETS_FAST_RELIABLE_TRANSFER_PRINTING-46_5_IN_X_180_IN,Custom DTF Gang Sheets 46″ Builder,189.00,188.00,-1.00,,https://dtfvirginia.com/products/custom-dtf-gang-sheets-fast-reliable-transfer-printing
dtfva-custom-dtf-gang-sheets-fast-reliable-transfer-printing,DTFVA-CUSTOM_DTF_GANG_SHEETS_FAST_RELIABLE_TRANSFER_PRINTING-46_5_IN_X_192_IN,Custom DTF Gang Sheets 46″ Builder,201.60,200.60,-1.00,,https://dtfvirginia.com/products/custom-dtf-gang-sheets-fast-reliable-transfer-printing
dtfva-custom-dtf-gang-sheets-fast-reliable-transfer-printing,DTFVA-CUSTOM_DTF_GANG_SHEETS_FAST_RELIABLE_TRANSFER_PRINTING-46_5_IN_X_204_IN,Custom DTF Gang Sheets 46″ Builder,214.20,213.20,-1.00,,https://dtfvirginia.com/products/custom-dtf-gang-sheets-fast-reliable-transfer-printing
dtfva-custom-dtf-gang-sheets-fast-reliable-transfer-printing,DTFVA-CUSTOM_DTF_GANG_SHEETS_FAST_RELIABLE_TRANSFER_PRINTING-46_5_IN_X_216_IN,Custom DTF Gang Sheets 46″ Builder,226.80,225.80,-1.00,,https://dtfvirginia.com/products/custom-dtf-gang-sheets-fast-reliable-transfer-printing
dtfva-custom-dtf-gang-sheets-fast-reliable-transfer-printing,DTFVA-CUSTOM_DTF_GANG_SHEETS_FAST_RELIABLE_TRANSFER_PRINTING-46_5_IN_X_228_IN,Custom DTF Gang Sheets 46″ Builder,239.40,238.40,-1.00,,https://dtfvirginia.com/products/custom-dtf-gang-sheets-fast-reliable-transfer-printing
